               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.018447,            0.010389,                   0,             0.99951,                   1,               0.995,             0.85907,            0.008473,           0.0033771,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,            0.018429,            0.010067,                   0,             0.99948,                   1,               0.995,             0.88092,           0.0084056,           0.0032034,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,            0.019572,           0.0099512,                   0,             0.99954,                   1,               0.995,             0.86133,           0.0085952,            0.003174,                   0,            0.007723,            0.007723,            0.007723
                 117,            0.017381,            0.010046,                   0,             0.99953,                   1,               0.995,             0.86613,           0.0083337,           0.0034382,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,            0.018261,            0.010352,                   0,             0.99956,                   1,               0.995,             0.86407,           0.0082322,           0.0035697,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,            0.019235,           0.0095424,                   0,             0.99957,                   1,               0.995,             0.83462,            0.010581,           0.0034406,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,            0.020241,           0.0098307,                   0,             0.99959,                   1,               0.995,             0.86624,           0.0085821,           0.0031681,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,            0.019364,            0.010931,                   0,             0.99957,                   1,               0.995,             0.87663,           0.0083237,           0.0033027,                   0,            0.007624,            0.007624,            0.007624
                 122,            0.019524,           0.0097173,                   0,             0.99953,                   1,               0.995,             0.87785,           0.0090359,           0.0033375,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,            0.019374,            0.010697,                   0,             0.99963,                   1,               0.995,             0.88245,           0.0076415,           0.0033298,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,            0.020052,           0.0099437,                   0,             0.99958,                   1,               0.995,             0.86456,           0.0078486,           0.0033357,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,            0.018733,           0.0099772,                   0,             0.99953,                   1,               0.995,             0.86382,             0.00879,             0.00351,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,            0.017351,           0.0097212,                   0,              0.9995,                   1,               0.995,              0.8824,           0.0076204,           0.0031915,                   0,            0.007525,            0.007525,            0.007525
                 127,            0.018731,           0.0098754,                   0,              0.9994,                   1,               0.995,             0.87181,           0.0080273,           0.0033388,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,            0.017601,            0.010188,                   0,              0.9995,                   1,               0.995,             0.87576,           0.0089044,           0.0032636,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,             0.01848,           0.0097568,                   0,             0.99951,                   1,               0.995,              0.8845,           0.0071642,           0.0030838,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,            0.017477,             0.01052,                   0,             0.99961,                   1,               0.995,             0.88984,           0.0076174,           0.0031389,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,            0.018507,            0.010058,                   0,             0.99977,                   1,               0.995,             0.87106,           0.0077547,           0.0033257,                   0,            0.007426,            0.007426,            0.007426
                 132,            0.018151,            0.010681,                   0,             0.99965,                   1,               0.995,             0.87029,            0.007294,           0.0034892,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,            0.016069,           0.0095364,                   0,             0.99967,                   1,               0.995,             0.86316,           0.0075298,           0.0033735,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,            0.017495,           0.0087238,                   0,             0.99966,                   1,               0.995,             0.87004,           0.0089768,           0.0034262,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,            0.017135,            0.010269,                   0,             0.99959,                   1,               0.995,             0.87147,           0.0073772,            0.003323,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,            0.017523,           0.0099032,                   0,             0.99944,                   1,               0.995,             0.87636,           0.0074621,           0.0031807,                   0,            0.007327,            0.007327,            0.007327
                 137,            0.016828,           0.0095225,                   0,             0.99946,                   1,               0.995,             0.88429,           0.0071428,           0.0031769,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,            0.015619,           0.0091387,                   0,             0.99953,                   1,               0.995,             0.85236,           0.0089976,           0.0034641,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,            0.017146,           0.0094008,                   0,             0.99934,                   1,               0.995,             0.87073,           0.0082303,             0.00325,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,            0.018921,           0.0093236,                   0,             0.99952,                   1,               0.995,             0.87256,           0.0089383,           0.0033474,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,            0.016644,           0.0091824,                   0,              0.9995,                   1,               0.995,             0.88019,           0.0076707,            0.003418,                   0,            0.007228,            0.007228,            0.007228
                 142,            0.016021,           0.0094061,                   0,             0.99943,                   1,               0.995,             0.88139,           0.0073715,           0.0033964,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,             0.01842,           0.0096156,                   0,             0.99949,                   1,               0.995,             0.85318,           0.0075475,           0.0037074,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,            0.018478,            0.010124,                   0,             0.99942,                   1,               0.995,             0.86687,           0.0077858,           0.0035789,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,            0.016994,           0.0094032,                   0,             0.99946,                   1,               0.995,             0.86726,           0.0075993,           0.0036995,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,            0.017214,           0.0098522,                   0,             0.99951,                   1,               0.995,             0.87764,           0.0077897,           0.0034698,                   0,            0.007129,            0.007129,            0.007129
                 147,             0.01593,           0.0090832,                   0,             0.99951,                   1,               0.995,             0.85763,           0.0083489,           0.0034172,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,             0.01822,            0.009625,                   0,             0.99942,                   1,               0.995,             0.85906,           0.0086769,           0.0034755,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,             0.01797,           0.0087769,                   0,             0.99946,                   1,               0.995,             0.88666,           0.0070352,           0.0032558,                   0,           0.0070696,           0.0070696,           0.0070696
                 150,            0.016264,           0.0094149,                   0,              0.9995,                   1,               0.995,               0.883,           0.0068332,           0.0033029,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,            0.017301,           0.0093738,                   0,             0.99956,                   1,               0.995,             0.88579,            0.007493,           0.0032542,                   0,             0.00703,             0.00703,             0.00703
                 152,            0.018416,            0.010013,                   0,             0.99957,                   1,               0.995,             0.89406,           0.0077349,           0.0031511,                   0,           0.0070102,           0.0070102,           0.0070102
                 153,            0.015811,           0.0093794,                   0,             0.99957,                   1,               0.995,             0.88683,            0.007007,           0.0033501,                   0,           0.0069904,           0.0069904,           0.0069904
                 154,            0.015138,            0.009475,                   0,             0.99956,                   1,               0.995,             0.86467,           0.0079961,            0.003578,                   0,           0.0069706,           0.0069706,           0.0069706
                 155,             0.01741,           0.0095782,                   0,             0.99955,                   1,               0.995,             0.87142,           0.0079218,            0.003536,                   0,           0.0069508,           0.0069508,           0.0069508
                 156,            0.016893,           0.0097076,                   0,             0.99955,                   1,               0.995,               0.866,           0.0082639,           0.0034615,                   0,            0.006931,            0.006931,            0.006931
                 157,             0.01735,           0.0093811,                   0,             0.99955,                   1,               0.995,             0.89707,           0.0072607,           0.0031866,                   0,           0.0069112,           0.0069112,           0.0069112
                 158,            0.017102,           0.0098413,                   0,             0.99954,                   1,               0.995,             0.89606,           0.0071273,           0.0030799,                   0,           0.0068914,           0.0068914,           0.0068914
                 159,            0.016492,           0.0092699,                   0,             0.99956,                   1,               0.995,             0.88836,           0.0072692,           0.0033041,                   0,           0.0068716,           0.0068716,           0.0068716
                 160,            0.017269,           0.0098172,                   0,             0.99957,                   1,               0.995,             0.89065,            0.007251,           0.0031899,                   0,           0.0068518,           0.0068518,           0.0068518
                 161,            0.016439,           0.0094209,                   0,             0.99954,                   1,               0.995,             0.90537,           0.0067572,            0.003129,                   0,            0.006832,            0.006832,            0.006832
                 162,            0.015278,            0.010198,                   0,             0.99957,                   1,               0.995,             0.88422,           0.0078594,           0.0031488,                   0,           0.0068122,           0.0068122,           0.0068122
                 163,            0.015951,            0.010359,                   0,             0.99958,                   1,               0.995,             0.87499,           0.0080605,           0.0033075,                   0,           0.0067924,           0.0067924,           0.0067924
                 164,            0.016967,           0.0096214,                   0,             0.99958,                   1,               0.995,             0.87365,           0.0082276,           0.0032309,                   0,           0.0067726,           0.0067726,           0.0067726
                 165,            0.015977,            0.009559,                   0,             0.99955,                   1,               0.995,             0.87262,           0.0074255,           0.0032392,                   0,           0.0067528,           0.0067528,           0.0067528
                 166,            0.015336,           0.0090932,                   0,             0.99954,                   1,               0.995,             0.87983,           0.0070868,           0.0031972,                   0,            0.006733,            0.006733,            0.006733
                 167,            0.015482,            0.008651,                   0,             0.99956,                   1,               0.995,             0.87999,             0.00763,           0.0033587,                   0,           0.0067132,           0.0067132,           0.0067132
